Area,Name,Rating,Total Ratings,Address,Latitude,Longitude
Dadar,Cafe Delicia Legacy,4.5,23,"Shop B-9, Shivaji Park House, Lady Jamshedji Rd, Dadar West, Dadar, Mumbai, Maharashtra 400016, India",19.0255689,72.8409788
Dadar,The Urban Platter Cafe in Dadar West Mumbai,4.8,17,"Shop no 2, 1st Floor, CHS, SUGEE SADAN, Baburao Parulekar Marg, off Gokhale Road South, Dadar West, Dadar, Mumbai, Maharashtra 400028, India",19.0164915,72.8353928
Dadar,Cafe Madras®️,4.4,24600,"GROUND FLOOR, KAMAKSHI BUILDING, 391/B, Bhaudaji Rd, Matunga East, Mumbai, Maharashtra 400019, India",19.0276203,72.8550415
Dadar,Prajakta Cafe,4.1,583,"Shop No 2, Om Nanda Deep CHS, Prajakta Cafe, Mahim West, Shivaji Park, Mumbai, Maharashtra 400016, India",19.0294714,72.8400664
Dadar,Café Coffee Day,3.9,1392,"Ground Floor, Dwarka Sadan, Keluskar Rd, Dadar West, Shivaji Park, Mumbai, Maharashtra 400028, India",19.0290097,72.8384792
Dadar,Third Wave Coffee,4.7,1415,"Unit no.58, Ground, Ram Mahal, Tip Road, Senapati Bapat Marg, Station, Mahim, Mumbai, Maharashtra 400016, India",19.0408896,72.8462018
Dadar,Cafe Anna,4.5,31,"Shop no.7, Makwana Building, 4, Kakasaheb Gadgil Marg, opp. Essgee Options, Elphistone, Dadar, Mumbai, Maharashtra 400028, India",19.0163711,72.8304134
Dadar,Cafe Irani Chaii,4.4,5790,"Rosary Building, Mia Mohd Chhotani Rd, Geeta Nagar, Mahim West, Mahim, Mumbai, Maharashtra 400016, India",19.0390084,72.8426801
Dadar,Milkbar,4.8,55,"10/744 Kohinoor Mill Compound, S S Wagh Marg Road, Naigaon Rd, near Sharda Cinema, Dadar East, Mumbai, Maharashtra 400014, India",19.011508,72.8467185
Dadar,Coffee By Di Bella Mahim,4.2,4162,"West Wind Apartment, West Wind Building, Cadell Road, Mahim West, Kataria Colony, Shivaji Park, Swatantryaveer Savarkar Rd, above Cafe Di Bella, near Hinduja Hospitals, Dadar, Mumbai, Maharashtra 400016, India",19.0315287,72.8388039
Dadar,Cafe Marine,4.7,38,"2RGM+HWF, Dadar West, Shivaji Park, Mumbai, Maharashtra 400028, India",19.0264315,72.8347984
Dadar,Barista,4.1,1093,"Jilkar House, 15 A, Keluskar Rd N, next to Bank Of Baroda, Dadar West, Shivaji Park, Mumbai, Maharashtra 400028, India",19.0293373,72.8380664
Dadar,Hungry Owl,4.3,251,"Raghukul, 1st Floor, Bhavani Shankar Rd, opp. King’s Crest, Dadar West, Mumbai, Maharashtra 400028, India",19.0182802,72.8393405
Dadar,Pranav's corner,4.6,475,"2R9P+MRW, SK Bole Rd, opp. Nabar Guruji School, Omkar Society, Dadar West, Dadar, Mumbai, Maharashtra 400028, India",19.0192101,72.8371064
Dadar,Cafe Panama,4.4,611,"Lower Parel Compound, SJ Marg, Lower Parel, Mumbai, Maharashtra 400013, India",19.00022,72.830249
